HP:0031816	D002971,D003744,D010510,D014681,D003731,D009062,D000848,D019226,D010518,D005882,D002972,D014071,D005891
HP:0002092	D006976,D065627
HP:0025634	D014718
HP:0002583	D003092,D003093
HP:0002836	D001746
HP:0001123	D012607,D009898
HP:0012190	D016399
HP:0012575	D005922,D015433,D005921,D005923
HP:0000821	D007037
HP:0000365	D006319,D034381,D011304,D003638
HP:0000925	D001416,D055959
HP:0000738	D006212
HP:0001397	D005234
HP:0000174	D014681,D002972
HP:0005523	D008232,D008258
HP:0010929	D007010,D006934,D006996
HP:0040049	D008269
HP:0010936	D014550,D001746,D014549,D014718
HP:0005547	D009196
HP:0012757	D000690
HP:0100548	D001746
HP:0001952	D003924,D016640,D003920,D003922
HP:0030159	D002583
HP:0000729	D000067877,D001321
HP:0000818	D006980,D013966,D007037,D010900,D013959,D003924,D013964,D010911,D016640,D003920,D006042,D002276,D006111,D004701,D004700,D003922,D018358,D050031
HP:0011035	D005922,D015433,D005921,D005923
HP:0000722	D009771,D003192
HP:0040068	D006215,D000071378
HP:0040188	D055034,D010008
HP:0011729	D003286,D004387
HP:0012732	D012004,D000071056
HP:0011014	D003924,D016640,D003920,D007333,D003922
HP:0100836	D005910,D009447,D005909
HP:3000050	D003744
HP:0001328	D004410
HP:0100491	D020370,D006618,D006617
HP:0000685	D003744
HP:0000483	D001251
HP:0000610	D015862,D002825
HP:0032251	D000380,D015470,D019337,D009196,D015451,D007970,D008231,D015464,D007938
HP:0000575	D012607,D009898
HP:0030829	D012135
HP:0002488	D015470
HP:0000230	D005891
HP:0000716	D003866
HP:0100766	D018190,D018192
HP:0100498	D006215,D000071378
HP:0002011	D020300,D016543,D002532,D000690,D016631,D056784,D016874,D058225,D005910,D002545,D009410,D010900,D008579,D054220,D010911,D001932,D020521,D019636,D000544,D009447,D002543,D020961,D002493,D005909
HP:0001638	D009202,D054549,D002311
HP:0012373	D014605,D001251,D014786,D013285,D015835,D012607,D004948,D000550,D006956,D009759,D005901,D009898,D015354,D009216
HP:0001574	D012868,D002280,D005076,D003872,D011537,D013546,D015595,D004893,D014820,D004485,D013684,D000505,D012393,D011565,D000506,D002294,D017445,D018307,D007627,D003876,D009506,D012871,D006945,D014581,D008545,D005483,D012628,D004890,D008548,D012878,D000799,D001821,D009508
HP:0004934	D061205
HP:0001671	D006345,D006343,D006344
HP:0002511	D000544
HP:0009145	D002532,D002545
HP:0010535	D020181,D012891
HP:0100848	D013736
HP:0012372	D014605,D015862,D001251,D002386,D012164,D008269,D012163,D007905,D002825,D007640
HP:0001844	D006215,D000071378
HP:0000204	D002971
HP:0000798	D009845
HP:0011004	D002532,D003324,D058729,D050197,D002545,D001017,D001014,D001161,D016893,D017545,D016491
HP:0005506	D015464
HP:0002607	D005242
HP:0011486	D007640
HP:0011772	D013966,D013964,D006042,D050031
HP:0000554	D014605
HP:0001297	D020521
HP:0100256	D058225
HP:0030153	D018281
HP:0100743	D012004
HP:0000175	D002972
HP:0010461	D011471,D011470,D013736
HP:0000565	D004948
HP:0002910	D008107
HP:0000532	D002825
HP:0002858	D008579
HP:0032180	D007010,D006934,D006996,D033461,D053099
HP:0100547	D016631,D056784,D016874,D054220,D020961
HP:0002635	D050197
HP:0100614	D009220
HP:0003076	D006029
HP:0001679	D001017,D001014,D017545
HP:0000752	D001289,D006948
HP:0004944	D002532
HP:0012056	D008545
HP:0012649	D014605,D005076,D003872,D010510,D004893,D015212,D004485,D015433,D004941,D013966,D003092,D009220,D005921,D011565,D012852,D010195,D011014,D003093,D003876,D010518,D005882,D012628,D010254,D003424,D009393,D006505,D010033,D050031
HP:0001395	D008103
HP:0000220	D014681
HP:0002185	D016874
HP:0010702	D008258,D006942
HP:0004299	D006552
HP:0000518	D002386
HP:0012874	D007172,D053713,D011317,D009845
HP:0001664	D016171
HP:0200023	D011317
HP:0012798	D018192
HP:0001271	D010523,D011115
HP:0000271	D009303,D002971,D010610,D012220,D003744,D000857,D010510,D014681,D003731,D009062,D000848,D009056,D006053,D019226,D010518,D005882,D005146,D065631,D002972,D014071,D005891,D009298
HP:0000736	D001289
HP:0000987	D007627
HP:0001513	D009765
HP:0002671	D002280
HP:0006682	D018879
HP:0002018	D009325
HP:0006561	D005234
HP:0012532	D059350
HP:0001045	D014820
HP:0004950	D058729,D016491
HP:0000717	D001321
HP:0000769	D001943
HP:0030065	D018242,D009447,D018241
HP:0100786	D006970
HP:0031546	D012804,D054537,D006327
HP:0000739	D001007
HP:0004373	D020821
HP:0030127	D004715
HP:0010766	D061205
HP:0100543	D060825,D003704,D008569,D057180
HP:0002817	D006226,D010020,D004387
HP:0002086	D009303,D020181,D055752,D010610,D001249,D006976,D012891,D007822,D012135,D011014,D001991,D008171,D018192,D029424,D029481,D001049,D055963,D008173,D065627,D012142,D011656,D012141,D017563,D002289,D008175
HP:0025015	D014648,D018190,D061205,D002532,D003324,D058729,D050197,D000783,D002545,D014689,D018192,D001017,D001014,D001161,D013771,D016893,D017545,D016491
HP:0001699	D016757,D003645
HP:0000407	D006319,D011304
HP:0100022	D009069,D014202,D020329,D020821,D004421
HP:0012758	D007805
HP:0000153	D002971,D003744,D010510,D014681,D003731,D009062,D000848,D009056,D019226,D010518,D005882,D002972,D014071,D005891
HP:0012154	D059445
HP:0001760	D006215,D000071378,D003025,D005530
HP:0001041	D012393,D001821
HP:0002020	D005764,D006356
HP:0001373	D006618,D006617,D004204
HP:0001600	D007822
HP:0100753	D012559
HP:0004349	D010024
HP:0012075	D010554,D001883
HP:0011121	D015595,D014820,D013684,D012393,D011565,D017445,D007627,D009506,D014581,D005483,D004890,D008548,D000799,D001821,D009508
HP:0001000	D014820,D008548
HP:0010788	D013736
HP:0000168	D010510,D010518,D005882,D005891
HP:0030358	D002289
HP:0004325	D015431,D013851
HP:0004364	D033461,D053099
HP:0012288	D004938,D001471,D006258
HP:0031703	D006319,D010040,D011304,D010033
HP:0001369	D006073,D015207,D020370,D010003,D001168,D001172,D015210
HP:0011893	D000380,D007970,D008231
HP:0030126	D004715,D016889
HP:0025028	D008531,D006627
HP:0009830	D006987,D010523,D011115
HP:0000370	D010040,D010033
HP:0011017	D008258,D017098,D006942,D000361
HP:0005150	D054537
HP:0003496	D008258
HP:0032012	D004948
HP:0011362	D000505,D000506
HP:0000027	D053713
HP:0025032	D003967,D005242,D015212,D005764,D004941,D003680,D003092,D003093,D006356,D009325,D003424,D014839
HP:0000152	D009303,D002971,D010610,D012220,D003744,D003398,D000857,D010510,D014681,D003731,D000505,D009062,D012852,D000848,D009056,D006053,D019226,D010518,D005882,D005146,D010254,D065631,D002972,D014071,D005891,D009298
HP:0000093	D011507
HP:0000929	D003398,D012852,D010254
HP:0010978	D006255,D008180,D014605,D005076,D003872,D001327,D010510,D004893,D015212,D004485,D015433,D004941,D008258,D013966,D017098,D001249,D003092,D009220,D005921,D006967,D011565,D012852,D018805,D010195,D011014,D003093,D002446,D006942,D055963,D003876,D010518,D005882,D012628,D010254,D065631,D003424,D003449,D000361,D009393,D006505,D010033,D050031
HP:0000951	D012868,D002280,D005076,D003872,D011537,D015595,D004893,D014820,D004485,D013684,D012393,D011565,D002294,D017445,D018307,D007627,D003876,D009506,D012871,D014581,D008545,D005483,D012628,D004890,D008548,D012878,D000799,D001821,D009508
HP:0000969	D008269,D004487,D000799
HP:0001680	D001017
HP:0002648	D003398
HP:0001714	D017379
HP:0002076	D020326,D008881,D020325
HP:0002170	D020300,D002543
HP:0031466	D010554,D007175,D003866,D001714,D059445,D001007,D001883
HP:0002149	D033461
HP:0000505	D014786,D012607,D000550,D009898,D015354
HP:0011873	D013921
HP:0001637	D009202,D054549,D009205,D002311
HP:0031652	D001024
HP:0011747	D010900,D010911
HP:0002608	D002446
HP:0001640	D006332
HP:0001636	D013771
HP:0000600	D009303,D010610
HP:0011704	D012804
HP:0100705	D005910,D005909
HP:0000163	D002971,D003744,D010510,D014681,D003731,D009062,D000848,D019226,D010518,D005882,D002972,D014071,D005891
HP:0012174	D005909
HP:0000138	D011085,D010048
HP:0002827	D006618,D006617
HP:0001663	D014693
HP:0006704	D003324
HP:0005508	D008258
HP:0010927	D006934,D006996
HP:0011172	D003294
HP:0030692	D001932
HP:0012188	D006939
HP:0012331	D008531,D006627
HP:0000486	D013285,D004948
HP:0010930	D007010
HP:0000095	D005922,D015433,D005921,D005923
HP:0000668	D000848
HP:0002617	D002532,D000783,D001014,D017545
HP:0005108	D055959
HP:0100630	D009303,D010610
HP:0025031	D008103,D005767,D004938,D008113,D001471,D005706,D003967,D005242,D015212,D005764,D004941,D003680,D001746,D003092,D005234,D004066,D008531,D006552,D010190,D010182,D008107,D004381,D007410,D012004,D001656,D010195,D003093,D006356,D002446,D009325,D008105,D013274,D018281,D001661,D005770,D000071056,D005757,D006627,D003424,D015179,D006528,D014839,D006505,D002769,D003110,D001660,D005756
HP:0002246	D004381
HP:0100851	D000374,D016728
HP:0000360	D014012
HP:0010701	D008258,D017098,D006942,D000361
HP:0030060	D018242,D005910,D009380,D017599,D009447,D018302,D005909,D018241
HP:0000682	D003744
HP:0100647	D006111
HP:0001695	D016757,D006323
HP:0001997	D006073,D015210
HP:0000704	D010510,D010518,D005882
HP:0031047	D008258
HP:0010460	D004715,D016649,D008594,D007889,D010049,D002583,D016889,D014594,D010051,D011085,D010048
HP:0001342	D020300,D002543
HP:0100665	D000799
HP:0004298	D001746,D006552
HP:0001250	D004827,D004828,D012640,D003294
HP:0011138	D000505,D000506
HP:0100778	D003449
HP:0002795	D020181,D001249,D006976,D012891,D012135,D029424,D001049,D055963,D008173,D065627
HP:0001712	D017379
HP:0040088	D008231
HP:0012243	D004715,D016649,D008594,D007889,D010049,D002583,D016889,D011471,D014594,D010051,D011470,D013736,D011085,D010048
HP:0000458	D000857
HP:0001644	D002311
HP:0100806	D018805
HP:0002720	D017098
HP:0005584	D002292
HP:0001939	D006029,D007010,D008258,D017098,D007662,D003924,D008269,D000686,D004487,D008107,D006934,D006417,D016640,D003920,D014808,D016657,D006942,D007333,D006996,D000419,D033461,D011507,D003922,D000361,D000799,D053099
HP:0010784	D007889,D016889,D014594
HP:0005912	D001656
HP:0004469	D029481
HP:0100279	D003093
HP:0004305	D014202,D020329
HP:0012387	D001991,D029481
HP:0011793	D009303,D007680,D008232,D009101,D055752,D002280,D018190,D010610,D016399,D016543,D004938,D008113,D001471,D005706,D015470,D019337,D009383,D006258,D009423,D001943,D008258,D005910,D014571,D007889,D009062,D009196,D016889,D010190,D007822,D010954,D010524,D015451,D008579,D012004,D013964,D011471,D002294,D010911,D001932,D002276,D018192,D018307,D014565,D002292,D008228,D014594,D006689,D013274,D018281,D001661,D010051,D005770,D009447,D008545,D015464,D012142,D004701,D019043,D007938,D009396,D015179,D006528,D013736,D012878,D002289,D001749,D008223,D018358,D008175,D003110,D012516,D005909
HP:0001713	D006345,D017379
HP:0000812	D004715,D016649,D008594,D007889,D010049,D002583,D016889,D011471,D014594,D010051,D011470,D011085,D010048
HP:0005679	D004387
HP:0030012	D008595,D004715,D016649,D008594,D004412
HP:0040064	D006226,D006215,D010020,D000071378,D003025,D020370,D006618,D005530,D004387,D006617
HP:0000539	D001251,D006956,D009216
HP:0000820	D006980,D013966,D007037,D013959,D013964,D006042,D006111,D050031
HP:0031797	D017668
HP:0011458	D003967,D009325,D014839
HP:0011028	D020300,D002543
HP:0008628	D010040
HP:0000479	D012164,D008269,D012163,D002825
HP:0100281	D003093
HP:0003110	D006029,D007662,D006417,D000419,D011507
HP:0410243	D008258
HP:0002686	D016640,D006939,D011225
HP:0100742	D018190,D009383,D018192,D019043
HP:0004749	D001282
HP:0031066	D016649,D008594
HP:0002621	D003324,D050197
HP:0003198	D009135
HP:0011332	D006053
HP:0025354	D008258,D017098,D006942,D000361
HP:0001911	D000380
HP:0000035	D013736
HP:0000718	D000374
HP:0001650	D001024
HP:0100582	D009298
HP:0000020	D014550,D014549
HP:0002715	D000380,D006255,D008180,D014605,D005076,D018190,D008206,D015470,D003872,D001327,D019337,D010510,D004893,D015212,D004485,D015433,D004941,D008258,D013966,D017098,D001249,D003092,D009196,D009220,D005921,D006967,D015451,D011565,D007970,D008231,D012852,D018805,D010195,D011014,D003093,D002446,D018192,D006942,D055963,D003876,D010518,D005882,D015464,D012628,D010254,D065631,D007938,D003424,D003449,D000361,D009393,D006505,D010033,D050031
HP:0002077	D020325
HP:0003121	D004387
HP:0000496	D013285,D015835,D004948,D009759
HP:0003201	D012206
HP:0004329	D015862,D012164,D008269,D012163,D002825
HP:0002524	D002385
HP:0030956	D012804,D018879,D016757,D054537,D016171,D006323,D014693,D001145,D001281,D006327,D001282
HP:0002345	D014202,D020329
HP:0003764	D009506,D009508
HP:0004332	D008231
HP:0002270	D008531,D006627,D007024
HP:0002582	D005757
HP:0011970	D016657
HP:0005115	D001281,D001282
HP:0001289	D003221
HP:0003418	D001416
HP:0001872	D013921,D013915
HP:0001507	D015431,D009765,D013851,D015430
HP:0002157	D033461,D053099
HP:0100678	D015595
HP:0000549	D013285,D015835,D004948
HP:0100533	D014605
HP:0006749	D005770
HP:0040113	D011304
HP:0011034	D000686,D016657
HP:0000155	D019226
HP:0010931	D007010
HP:0030875	D006976,D065627
HP:0011061	D003744,D003731
